task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,2,0.57,0.015655669899432602
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,2,0.588,0.01556457516284977
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,3,0.104,0.009653186002558949
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,3,0.032,0.005565608681896348
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,3,0.389,0.015416841440450765
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,3,0.335,0.014925649064613574
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,5,0.142,0.011037934589405754
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,5,0.051,0.00695693898205238
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,5,0.179,0.01212266472356635
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,5,0.249,0.013674757767507255
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,5,0.378,0.015333492752794452
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,5,0.191,0.012430567163247218
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,10,0.316,0.014701836619960105
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,10,0.211,0.012902674141432851
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,10,0.298,0.014463609508003178
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,10,0.354,0.015122301412152848
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,10,0.441,0.015700923539715746
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,10,0.302,0.014518815378673288
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,20,0.65,0.015083103128998356
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,20,0.606,0.015451990163082553
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,20,0.673,0.014834790190629592
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,20,0.725,0.014120021246442939
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,20,0.744,0.013800869537822608
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,20,0.652,0.015063067416698366
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,30,0.879,0.010313049985334114
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,30,0.859,0.011005407761641547
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,30,0.876,0.010422283818818216
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,30,0.895,0.009694070352540258
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,30,0.879,0.010313049985334114
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,30,0.869,0.010669536072388528
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,2,0.134,0.010772372069326236
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,2,0.051,0.00695693898205238
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,2,0.795,0.012766166221697099
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,2,0.789,0.012902674141432851
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,3,0.224,0.013184233007649706
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,3,0.097,0.00935900635751467
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,3,0.721,0.014183053267896867
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,3,0.663,0.014947608504372864
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,5,0.488,0.01580683396509244
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,5,0.318,0.014726710426975875
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,5,0.524,0.01579316307773715
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,5,0.588,0.01556457516284977
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,5,0.786,0.012969348480166612
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,5,0.538,0.015765658882520576
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,10,0.909,0.009094998625618366
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,10,0.85,0.011291589790636216
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,10,0.756,0.013581752464244074
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,10,0.797,0.012719709116170855
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,10,0.965,0.005811626278418119
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,10,0.927,0.008226238508577293
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,20,0.994,0.002442130217658347
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,20,0.994,0.002442130217658347
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.01,2.0,30,1.0,0.0
Humanoid-v5,SAC,DDPG,t-test,0.05,0.5,2,0.145,0.01113440613593738
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,0.5,2,0.079,0.008529888627643388
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,2,0.0,0.0
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,0.5,2,0.001,0.0009994998749374609
Humanoid-v5,SAC,DDPG,bootstrap,0.05,0.5,2,0.496,0.01581088232832058
Humanoid-v5,SAC,DDPG,permutation,0.05,0.5,2,0.496,0.01581088232832058
Humanoid-v5,SAC,DDPG,t-test,0.05,0.5,3,0.139,0.010939789760319894
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,0.5,3,0.073,0.008226238508577295
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,3,0.0,0.0
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,0.5,3,0.264,0.013939296969359681
Humanoid-v5,SAC,DDPG,bootstrap,0.05,0.5,3,0.303,0.014532412050310162
Humanoid-v5,SAC,DDPG,permutation,0.05,0.5,3,0.26,0.013870832707519763
Humanoid-v5,SAC,DDPG,t-test,0.05,0.5,5,0.116,0.010126401137620413
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,0.5,5,0.091,0.009094998625618368
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,5,0.098,0.009401914698613257
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,0.5,5,0.103,0.009612023720320296
Humanoid-v5,SAC,DDPG,bootstrap,0.05,0.5,5,0.252,0.013729384545565033
Humanoid-v5,SAC,DDPG,permutation,0.05,0.5,5,0.161,0.011622349160131096
Humanoid-v5,SAC,DDPG,t-test,0.05,0.5,10,0.187,0.012330085157856777
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,0.5,10,0.157,0.01150439046625244
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,10,0.191,0.012430567163247218
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,0.5,10,0.223,0.01316324428095141
Humanoid-v5,SAC,DDPG,bootstrap,0.05,0.5,10,0.26,0.013870832707519763
Humanoid-v5,SAC,DDPG,permutation,0.05,0.5,10,0.2,0.01264911064067352
Humanoid-v5,SAC,DDPG,t-test,0.05,0.5,20,0.321,0.0147634345597493
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,0.5,20,0.308,0.014599178059055242
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,20,0.347,0.01505293991218991
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,0.5,20,0.349,0.01507312177354114
Humanoid-v5,SAC,DDPG,bootstrap,0.05,0.5,20,0.383,0.015372410351015223
Humanoid-v5,SAC,DDPG,permutation,0.05,0.5,20,0.325,0.014811313243598625
Humanoid-v5,SAC,DDPG,t-test,0.05,0.5,30,0.453,0.015741378592740853
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,0.5,30,0.451,0.01573527883451704
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,30,0.41,0.01555313473226539
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,0.5,30,0.442,0.01570464899321217
Humanoid-v5,SAC,DDPG,bootstrap,0.05,0.5,30,0.5,0.015811388300841896
Humanoid-v5,SAC,DDPG,permutation,0.05,0.5,30,0.476,0.01579316307773715
Humanoid-v5,SAC,DDPG,t-test,0.05,1.0,2,0.184,0.012253326079069307
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,1.0,2,0.086,0.008865889690267977
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,2,0.0,0.0
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,1.0,2,0.0,0.0
Humanoid-v5,SAC,DDPG,bootstrap,0.05,1.0,2,0.575,0.015632498200863484
Humanoid-v5,SAC,DDPG,permutation,0.05,1.0,2,0.588,0.01556457516284977
Humanoid-v5,SAC,DDPG,t-test,0.05,1.0,3,0.235,0.013408019988051927
Humanoid-v5,SAC,DDPG,Welch t-test,0.05,1.0,3,0.134,0.010772372069326236
Humanoid-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,3,0.0,0.0
Humanoid-v5,SAC,DDPG,Ranked t-test,0.05,1.0,3,0.424,0.01562766777225572
