task,algo1,algo2,test,alpha,epsilon,target_n,power,se
HalfCheetah-v5,SAC,TD3,t-test,0.01,2.0,5,0.431,0.015660108556456432
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,2.0,5,0.344,0.015022117027902558
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,2.0,5,0.121,0.010313049985334114
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,2.0,5,0.178,0.012096115078817662
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,2.0,5,0.893,0.009775019181566856
HalfCheetah-v5,SAC,TD3,permutation,0.01,2.0,5,0.389,0.015416841440450765
HalfCheetah-v5,SAC,TD3,t-test,0.01,2.0,10,0.975,0.004937104414532877
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,2.0,10,0.967,0.005648982209212561
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,2.0,10,0.293,0.014392741226048637
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,2.0,10,0.345,0.015032464867745409
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,2.0,10,0.999,0.0009994998749374613
HalfCheetah-v5,SAC,TD3,permutation,0.01,2.0,10,0.965,0.005811626278418119
HalfCheetah-v5,SAC,TD3,t-test,0.01,2.0,20,1.0,0.0
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,2.0,20,1.0,0.0
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,2.0,20,0.717,0.014244683218660919
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,2.0,20,0.727,0.014087973594523805
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,2.0,20,1.0,0.0
HalfCheetah-v5,SAC,TD3,permutation,0.01,2.0,20,1.0,0.0
HalfCheetah-v5,SAC,TD3,t-test,0.01,2.0,30,1.0,0.0
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,2.0,30,1.0,0.0
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,2.0,30,0.896,0.009653186002558947
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,2.0,30,0.917,0.008724161850859943
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,2.0,30,1.0,0.0
HalfCheetah-v5,SAC,TD3,permutation,0.01,2.0,30,1.0,0.0
HalfCheetah-v5,SAC,DDPG,t-test,0.05,0.5,2,0.085,0.008819013550278738
HalfCheetah-v5,SAC,DDPG,Welch t-test,0.05,0.5,2,0.039,0.006122009474020765
HalfCheetah-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,2,0.0,0.0
HalfCheetah-v5,SAC,DDPG,Ranked t-test,0.05,0.5,2,0.0,0.0
HalfCheetah-v5,SAC,DDPG,bootstrap,0.05,0.5,2,0.365,0.015224158433227107
HalfCheetah-v5,SAC,DDPG,permutation,0.05,0.5,2,0.375,0.015309310892394862
HalfCheetah-v5,SAC,DDPG,t-test,0.05,0.5,3,0.066,0.007851369307324678
HalfCheetah-v5,SAC,DDPG,Welch t-test,0.05,0.5,3,0.056,0.007270763371201128
HalfCheetah-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,3,0.0,0.0
HalfCheetah-v5,SAC,DDPG,Ranked t-test,0.05,0.5,3,0.179,0.01212266472356635
HalfCheetah-v5,SAC,DDPG,bootstrap,0.05,0.5,3,0.238,0.01346684818359515
HalfCheetah-v5,SAC,DDPG,permutation,0.05,0.5,3,0.126,0.010493998284733994
HalfCheetah-v5,SAC,DDPG,t-test,0.05,0.5,5,0.083,0.008724161850859944
HalfCheetah-v5,SAC,DDPG,Welch t-test,0.05,0.5,5,0.05,0.006892024376045111
HalfCheetah-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,5,0.121,0.010313049985334114
HalfCheetah-v5,SAC,DDPG,Ranked t-test,0.05,0.5,5,0.211,0.012902674141432851
HalfCheetah-v5,SAC,DDPG,bootstrap,0.05,0.5,5,0.178,0.012096115078817662
HalfCheetah-v5,SAC,DDPG,permutation,0.05,0.5,5,0.047,0.006692607862410586
HalfCheetah-v5,SAC,DDPG,t-test,0.05,0.5,10,0.127,0.010529529904036551
HalfCheetah-v5,SAC,DDPG,Welch t-test,0.05,0.5,10,0.1,0.009486832980505138
HalfCheetah-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,10,0.36,0.015178932768808221
HalfCheetah-v5,SAC,DDPG,Ranked t-test,0.05,0.5,10,0.424,0.01562766777225572
HalfCheetah-v5,SAC,DDPG,bootstrap,0.05,0.5,10,0.209,0.012857643641040918
HalfCheetah-v5,SAC,DDPG,permutation,0.05,0.5,10,0.118,0.01020176455325254
HalfCheetah-v5,SAC,DDPG,t-test,0.05,0.5,20,0.28,0.014198591479439079
HalfCheetah-v5,SAC,DDPG,Welch t-test,0.05,0.5,20,0.279,0.014183053267896867
HalfCheetah-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,20,0.68,0.014751271131668619
HalfCheetah-v5,SAC,DDPG,Ranked t-test,0.05,0.5,20,0.678,0.014775520295407536
HalfCheetah-v5,SAC,DDPG,bootstrap,0.05,0.5,20,0.374,0.015301111070768685
HalfCheetah-v5,SAC,DDPG,permutation,0.05,0.5,20,0.298,0.014463609508003178
HalfCheetah-v5,SAC,DDPG,t-test,0.05,0.5,30,0.477,0.01579465099329517
HalfCheetah-v5,SAC,DDPG,Welch t-test,0.05,0.5,30,0.461,0.015763216676808068
HalfCheetah-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,30,0.864,0.010839926199010766
HalfCheetah-v5,SAC,DDPG,Ranked t-test,0.05,0.5,30,0.873,0.010529529904036551
HalfCheetah-v5,SAC,DDPG,bootstrap,0.05,0.5,30,0.544,0.01575004761897563
HalfCheetah-v5,SAC,DDPG,permutation,0.05,0.5,30,0.457,0.015752809273269323
HalfCheetah-v5,SAC,DDPG,t-test,0.05,1.0,2,0.073,0.008226238508577295
HalfCheetah-v5,SAC,DDPG,Welch t-test,0.05,1.0,2,0.046,0.006624499981130651
HalfCheetah-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,2,0.0,0.0
HalfCheetah-v5,SAC,DDPG,Ranked t-test,0.05,1.0,2,0.0,0.0
HalfCheetah-v5,SAC,DDPG,bootstrap,0.05,1.0,2,0.464,0.015770351930125086
HalfCheetah-v5,SAC,DDPG,permutation,0.05,1.0,2,0.443,0.015708309902723462
HalfCheetah-v5,SAC,DDPG,t-test,0.05,1.0,3,0.067,0.007906389820898032
HalfCheetah-v5,SAC,DDPG,Welch t-test,0.05,1.0,3,0.045,0.0065555320150236475
HalfCheetah-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,3,0.0,0.0
HalfCheetah-v5,SAC,DDPG,Ranked t-test,0.05,1.0,3,0.394,0.015451990163082553
HalfCheetah-v5,SAC,DDPG,bootstrap,0.05,1.0,3,0.402,0.015504708962118573
HalfCheetah-v5,SAC,DDPG,permutation,0.05,1.0,3,0.209,0.012857643641040918
HalfCheetah-v5,SAC,DDPG,t-test,0.05,1.0,5,0.172,0.011933817494833746
HalfCheetah-v5,SAC,DDPG,Welch t-test,0.05,1.0,5,0.131,0.010669536072388528
HalfCheetah-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,5,0.359,0.01516967369457893
HalfCheetah-v5,SAC,DDPG,Ranked t-test,0.05,1.0,5,0.432,0.01566448211719749
HalfCheetah-v5,SAC,DDPG,bootstrap,0.05,1.0,5,0.489,0.015807561481771943
HalfCheetah-v5,SAC,DDPG,permutation,0.05,1.0,5,0.201,0.012672766075328622
HalfCheetah-v5,SAC,DDPG,t-test,0.05,1.0,10,0.529,0.01578477114183161
HalfCheetah-v5,SAC,DDPG,Welch t-test,0.05,1.0,10,0.526,0.01578999683343857
HalfCheetah-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,10,0.751,0.013674757767507255
HalfCheetah-v5,SAC,DDPG,Ranked t-test,0.05,1.0,10,0.786,0.012969348480166612
HalfCheetah-v5,SAC,DDPG,bootstrap,0.05,1.0,10,0.75,0.013693063937629153
HalfCheetah-v5,SAC,DDPG,permutation,0.05,1.0,10,0.589,0.015558888135082147
HalfCheetah-v5,SAC,DDPG,t-test,0.05,1.0,20,0.932,0.00796090447122687
HalfCheetah-v5,SAC,DDPG,Welch t-test,0.05,1.0,20,0.924,0.008379976133617564
HalfCheetah-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,20,0.976,0.004839834707921338
HalfCheetah-v5,SAC,DDPG,Ranked t-test,0.05,1.0,20,0.982,0.004204283529925166
HalfCheetah-v5,SAC,DDPG,bootstrap,0.05,1.0,20,0.955,0.00655553201502365
HalfCheetah-v5,SAC,DDPG,permutation,0.05,1.0,20,0.936,0.007739767438366605
HalfCheetah-v5,SAC,DDPG,t-test,0.05,1.0,30,0.992,0.0028170906978654425
HalfCheetah-v5,SAC,DDPG,Welch t-test,0.05,1.0,30,0.994,0.002442130217658347
HalfCheetah-v5,SAC,DDPG,Mann-Whitney,0.05,1.0,30,0.996,0.0019959959919799443
HalfCheetah-v5,SAC,DDPG,Ranked t-test,0.05,1.0,30,0.999,0.0009994998749374613
HalfCheetah-v5,SAC,DDPG,bootstrap,0.05,1.0,30,0.992,0.0028170906978654425
HalfCheetah-v5,SAC,DDPG,permutation,0.05,1.0,30,0.991,0.0029864694875387575
HalfCheetah-v5,SAC,DDPG,t-test,0.05,2.0,2,0.194,0.012504559168559283
